,0,1,2,3
PHTF2,77428195,77428195,+,chr7
CCL26,75401529,75401529,-,chr7
FARP2,242295700,242295700,+,chr2
USH1C,17565926,17565926,-,chr11
GGCT,30544445,30544445,-,chr7
DBF4,87505808,87505808,+,chr7
TBXA2R,3606859,3606859,-,chr19
IFRD1,112090515,112090515,+,chr7
LGALS14,40195123,40195123,+,chr19
COX10,13972840,13972840,+,chr17
GTF2IRD1,73868236,73868236,+,chr7
PAF1,39881732,39881732,-,chr19
VPS41,38948791,38948791,-,chr7
ARHGAP44,12692815,12692815,+,chr17
ELAC2,12921344,12921344,-,chr17
SCIN,12610347,12610347,+,chr7
ARSD,2847380,2847380,-,chrX
PNPLA4,7895454,7895454,-,chrX
MYH13,10276322,10276322,-,chr17
ADIPOR2,1800236,1800236,+,chr12
CDKL3,133706734,133706734,-,chr5
UPP2,158733096,158733096,+,chr2
PRSS21,2867238,2867238,+,chr16
MARK4,45754539,45754539,+,chr19
PROM1,16085646,16085646,-,chr4
CCDC124,18043826,18043826,+,chr19
CEACAM21,42055886,42055886,+,chr19
PAFAH1B1,2496948,2496948,+,chr17
NOS2,26127553,26127553,-,chr17
DNAH9,11501788,11501788,+,chr17
KIAA0100,26972174,26972174,-,chr17
SLC13A2,26800662,26800662,+,chr17
GAS7,10101923,10101923,-,chr17
TRAPPC6A,45681495,45681495,-,chr19
MATK,3786307,3786307,-,chr19
CEACAM7,42192199,42192199,-,chr19
CD79B,62009691,62009691,-,chr17
SCN4A,62038836,62038836,-,chr17
ST7L,113161747,113161747,-,chr1
TKTL1,153524148,153524148,+,chrX
PAX6,31832669,31832669,-,chr11
RPUSD1,838340,838340,-,chr16
RHBDF1,122627,122627,-,chr16
LUC7L,279415,279415,-,chr16
CACNA2D2,50541065,50541065,-,chr3
BAIAP3,1383646,1383646,+,chr16
TSR3,1401873,1401873,-,chr16
PIGQ,619981,619981,+,chr16
CRAMP1,1662388,1662388,+,chr16
TEAD3,35464851,35464851,-,chr6
SELE,169703220,169703220,-,chr1
DNAJC11,6761866,6761866,-,chr1
FMO3,171060046,171060046,+,chr1
MYLIP,16129317,16129317,+,chr6
NOX1,100129289,100129289,-,chrX
E2F2,23857706,23857706,-,chr1
PSMB1,170862387,170862387,-,chr6
SYN1,47479256,47479256,-,chrX
JARID2,15246302,15246302,+,chr6
CDKL5,18443728,18443728,+,chrX
CAMK1G,209757062,209757062,+,chr1
CDK11A,1655773,1655773,-,chr1
NADK,1709888,1709888,-,chr1
TFAP2B,50786607,50786607,+,chr6
TFAP2D,50681541,50681541,+,chr6
DLEC1,38080699,38080699,+,chr3
CYTH3,6312241,6312241,-,chr7
ADAM22,87563566,87563566,+,chr7
SYPL1,105752753,105752753,-,chr7
CYB561,61523667,61523667,-,chr17
SPAG9,49198226,49198226,-,chr17
CELSR3,48700319,48700319,-,chr3
AASS,121784303,121784303,-,chr7
PLEKHG6,6419848,6419848,+,chr12
SS18L2,42632352,42632352,+,chr3
MPND,4343559,4343559,+,chr19
MGST1,16500588,16500588,+,chr12
CRY1,107487327,107487327,-,chr12
PGLYRP1,46526311,46526311,-,chr19
NFIX,13106301,13106301,+,chr19
ST3GAL1,134584130,134584130,-,chr8
MMP25,3096562,3096562,+,chr16
IL32,3115641,3115641,+,chr16
PKD1,2185899,2185899,-,chr16
MAPK8IP2,51039224,51039224,+,chr22
MED24,38210661,38210661,-,chr17
RHOBTB2,22857061,22857061,+,chr8
HEATR5B,37311469,37311469,-,chr2
SEC62,169684599,169684599,+,chr3
RPS20,56987065,56987065,-,chr8
CSDE1,115300604,115300604,-,chr1
UBE3C,156931643,156931643,+,chr7
REV3L,111804370,111804370,-,chr6
TENM1,124097626,124097626,-,chrX
PAX7,18957351,18957351,+,chr1
MASP2,11107296,11107296,-,chr1
IYD,150690148,150690148,+,chr6
FAM76A,28052495,28052495,+,chr1
TRAF3IP3,209929453,209929453,+,chr1
POMT2,77787219,77787219,-,chr14
VTA1,142468400,142468400,+,chr6
MLXIPL,73038852,73038852,-,chr7
BAZ1B,72936570,72936570,-,chr7
RANBP9,13712067,13712067,-,chr6
ETV7,36355444,36355444,-,chr6
SPRTN,231474039,231474039,+,chr1
METTL13,171750814,171750814,+,chr1
DYRK4,4714117,4714117,+,chr12
ZNF207,30677176,30677176,+,chr17
UQCRC1,48647079,48647079,-,chr3
STARD3NL,38217974,38217974,+,chr7
CD9,6309566,6309566,+,chr12
HHATL,42744163,42744163,-,chr3
NCAPD2,6603268,6603268,+,chr12
IFFO1,6665208,6665208,-,chr12
GIPR,46171479,46171479,+,chr19
PHF7,52444676,52444676,+,chr3
SEMA3G,52479119,52479119,-,chr3
NISCH,52489646,52489646,+,chr3
STAB1,52529354,52529354,+,chr3
FUZ,50316534,50316534,-,chr19
SLC6A13,372002,372002,-,chr12
IDS,148586836,148586836,-,chrX
PRSS3,33750677,33750677,+,chr9
ZNF200,3285158,3285158,-,chr16
CD4,6898706,6898706,+,chr12
LRRC23,7013986,7013986,+,chr12
BTK,100641179,100641179,-,chrX
HFE,26087657,26087657,+,chr6
SCMH1,41707810,41707810,-,chr1
FYN,112194655,112194655,-,chr6
HIVEP2,143266313,143266313,-,chr6
FMO1,171217659,171217659,+,chr1
TCEB3,24069961,24069961,+,chr1
LYPLA2,24117675,24117675,+,chr1
CLCN6,11866298,11866298,+,chr1
MRC2,60705034,60705034,+,chr17
SLC6A7,149569628,149569628,+,chr5
TSPAN9,3186545,3186545,+,chr12
BTBD7,93799382,93799382,-,chr14
APBA3,3761642,3761642,-,chr19
MKS1,56296614,56296614,-,chr17
ABHD5,43732430,43732430,+,chr3
ANOS1,8700178,8700178,-,chrX
AKAP8L,15529799,15529799,-,chr19
MBTD1,49337404,49337404,-,chr17
UTP18,49337936,49337936,+,chr17
RNF216,5821277,5821277,-,chr7
TTC19,15903138,15903138,+,chr17
PTBP1,797452,797452,+,chr19
DPF1,38720335,38720335,-,chr19
SYT7,61348548,61348548,-,chr11
LARS2,45430068,45430068,+,chr3
PIK3C2A,17229511,17229511,-,chr11
PLAUR,44174321,44174321,-,chr19
ANLN,36429471,36429471,+,chr7
WIZ,15543496,15543496,-,chr19
RABGAP1,125703299,125703299,+,chr9
DCN,91576594,91576594,-,chr12
QPCTL,46195932,46195932,+,chr19
PPP5C,46850344,46850344,+,chr19
CEP68,65283580,65283580,+,chr2
MAP4K3,39664417,39664417,-,chr2
ZBTB32,36204328,36204328,+,chr19
TYROBP,36399197,36399197,-,chr19
TMEM159,21170000,21170000,+,chr16
GABRA3,151619752,151619752,-,chrX
BRCA1,41277381,41277381,-,chr17
ERCC1,45927166,45927166,-,chr19
CD22,35820090,35820090,+,chr19
SEMA3B,50306603,50306603,+,chr3
MBTPS2,21857747,21857747,+,chrX
PRICKLE3,49042826,49042826,-,chrX
LTF,46506395,46506395,-,chr3
EXTL3,28559113,28559113,+,chr8
NR1H4,100867644,100867644,+,chr12
ELOVL5,53213748,53213748,-,chr6
ALOX5,45869664,45869664,+,chr10
KDM5D,21906612,21906612,-,chrY
CALCOCO1,54121230,54121230,-,chr12
UBR7,93673615,93673615,+,chr14
MAP4K5,50999287,50999287,-,chr14
EHD3,31457018,31457018,+,chr2
PSMC4,40477072,40477072,+,chr19
MAN2B2,6576917,6576917,+,chr4
SLC7A14,170303797,170303797,-,chr3
CLDN11,170136656,170136656,+,chr3
SLC25A39,42402191,42402191,-,chr17
MVP,29831794,29831794,+,chr16
NUB1,151038898,151038898,+,chr7
PGM3,83902976,83902976,-,chr6
RWDD2A,83903076,83903076,+,chr6
CLK1,201729381,201729381,-,chr2
POLR3B,106751584,106751584,+,chr12
ANGEL1,77279204,77279204,-,chr14
RNF14,141348670,141348670,+,chr5
DNASE1L1,153637541,153637541,-,chrX
DDX11,31226797,31226797,+,chr12
HEBP1,13153196,13153196,-,chr12
GPRC5A,13044499,13044499,+,chr12
MAMLD1,149531545,149531545,+,chrX
CD6,60739208,60739208,+,chr11
TACC3,1723249,1723249,+,chr4
UFL1,96969715,96969715,+,chr6
POLA2,65029433,65029433,+,chr11
ZC3H3,144623607,144623607,-,chr8
CAPN1,64949399,64949399,+,chr11
ACPP,132036251,132036251,+,chr3
MDH1,63816097,63816097,+,chr2
SLC30A9,41992547,41992547,+,chr4
MTMR11,149908772,149908772,-,chr1
COX15,101491852,101491852,-,chr10
CCDC88C,91884158,91884158,-,chr14
YAF2,42632047,42632047,-,chr12
ZMYND11,181395,181395,+,chr10
WAS,48542207,48542207,+,chrX
DPEP1,89696679,89696679,+,chr16
BID,18257235,18257235,-,chr22
MATR3,138629432,138629432,+,chr5
NPC1L1,44580900,44580900,-,chr7
XYLT2,48423487,48423487,+,chr17
RGPD5,110551882,110551882,+,chr2
STMN4,27115921,27115921,-,chr8
NUDCD3,44530257,44530257,-,chr7
ISL1,50679282,50679282,+,chr5
CHDH,53880446,53880446,-,chr3
IL20RA,137365861,137365861,-,chr6
CLCA1,86934610,86934610,+,chr1
CLCA4,87012761,87012761,+,chr1
GLT8D1,52739807,52739807,-,chr3
ATP2C1,130613049,130613049,+,chr3
IGF1,102874341,102874341,-,chr12
SLC38A5,48327801,48327801,-,chrX
RALBP1,9475514,9475514,+,chr18
RUFY3,71587703,71587703,+,chr4
CNTN1,41086259,41086259,+,chr12
SLC11A1,219246996,219246996,+,chr2
WWTR1,149375812,149375812,-,chr3
AGPS,178257501,178257501,+,chr2
CXorf56,118699347,118699347,-,chrX
ATP1A2,160085549,160085549,+,chr1
TTC27,32853163,32853163,+,chr2
ZNF582,56904903,56904903,-,chr19
VSIG2,124622089,124622089,-,chr11
PHLDB1,118478330,118478330,+,chr11
MARCO,119699898,119699898,+,chr2
CYP24A1,52790525,52790525,-,chr20
PRDM11,45168190,45168190,+,chr11
SYT13,45307884,45307884,-,chr11
SNAI2,49833988,49833988,-,chr8
CD74,149792314,149792314,-,chr5
HGF,81399363,81399363,-,chr7
ZRANB1,126630692,126630692,+,chr10
NCDN,36023421,36023421,+,chr1
ADGRA2,37654401,37654401,+,chr8
ZFP64,50808317,50808317,-,chr20
MNAT1,61201490,61201490,+,chr14
SAMD4A,55033883,55033883,+,chr14
RUNX3,25256767,25256767,-,chr1
MRE11A,94227000,94227000,-,chr11
PLEKHB1,73358700,73358700,+,chr11
SERPINB1,2842094,2842094,-,chr6
CYP3A43,99425636,99425636,+,chr7
SLC7A9,33360664,33360664,-,chr19
SPAST,32289061,32289061,+,chr2
NRXN3,78636716,78636716,+,chr14
OSBPL5,3186525,3186525,-,chr11
AQR,35261898,35261898,-,chr15
CPS1,211421323,211421323,+,chr2
C8B,57431688,57431688,-,chr1
FHL1,135279206,135279206,+,chrX
RTFDC1,55043713,55043713,+,chr20
GABRA1,161275188,161275188,+,chr5
NLRP2,55477742,55477742,+,chr19
SLC45A4,142318387,142318387,-,chr8
RNF10,120972159,120972159,+,chr12
ZNF839,102786083,102786083,+,chr14
ZDHHC6,114206672,114206672,-,chr10
GRAMD1B,123430976,123430976,+,chr11
RNH1,507232,507232,-,chr11
NDUFS1,207024149,207024149,-,chr2
RB1CC1,53626995,53626995,-,chr8
ERP44,102861282,102861282,-,chr9
ALAS1,52232176,52232176,+,chr3
BIRC3,102188215,102188215,+,chr11
AKAP11,42846293,42846293,+,chr13
GLRX2,193074544,193074544,-,chr1
SNAPC1,62229138,62229138,+,chr14
DERA,16064266,16064266,+,chr12
STRAP,16035322,16035322,+,chr12
ABCC2,101542518,101542518,+,chr10
DEF6,35265595,35265595,+,chr6
PLEKHO1,150122106,150122106,+,chr1
GCLM,94374986,94374986,-,chr1
UBR2,42531767,42531767,+,chr6
EHD2,48216679,48216679,+,chr19
DEPDC1,68962765,68962765,-,chr1
CCDC28A,139094906,139094906,+,chr6
RRAGD,90121985,90121985,-,chr6
HSF2,122720806,122720806,+,chr6
PHF20,34359937,34359937,+,chr20
HSD17B6,57157108,57157108,+,chr12
NR1H3,47279547,47279547,+,chr11
TYMP,50968441,50968441,-,chr22
NCAPH2,50946676,50946676,+,chr22
TOMM34,43589037,43589037,-,chr20
SEC63,108279412,108279412,-,chr6
KPNA6,32573657,32573657,+,chr1
VIM,17271277,17271277,+,chr10
FAS,90750560,90750560,+,chr10
RNASET2,167370038,167370038,-,chr6
CD44,35160718,35160718,+,chr11
KCNG1,49639644,49639644,-,chr20
AGPAT4,161695093,161695093,-,chr6
SLAMF7,160709037,160709037,+,chr1
BTN3A1,26402503,26402503,+,chr6
MIPEP,24463539,24463539,-,chr13
PRKCH,61788465,61788465,+,chr14
INSRR,156828890,156828890,-,chr1
IFNGR1,137540495,137540495,-,chr6
B4GALT7,177027155,177027155,+,chr5
SH2D2A,156786540,156786540,-,chr1
VRK2,58273949,58273949,+,chr2
TNFRSF1B,12227048,12227048,+,chr1
VEZT,95611587,95611587,+,chr12
POU2F2,42636598,42636598,-,chr19
BRD9,892916,892916,-,chr5
SNX1,64388201,64388201,+,chr15
TBPL1,134274362,134274362,+,chr6
ARNTL2,27485798,27485798,+,chr12
BCLAF1,136610982,136610982,-,chr6
SLC39A9,69865409,69865409,+,chr14
ANK1,41655140,41655140,-,chr8
IBSP,88720706,88720706,+,chr4
TFB1M,155635618,155635618,-,chr6
RABEP1,5185579,5185579,+,chr17
HMGB3,150151808,150151808,+,chrX
NUP160,47869902,47869902,-,chr11
BAK1,33548036,33548036,-,chr6
MUSK,113431071,113431071,+,chr9
IKZF2,214015161,214015161,-,chr2
GRN,42422670,42422670,+,chr17
FAM13B,137368768,137368768,-,chr5
ARHGAP31,119013230,119013230,+,chr3
CENPQ,49431083,49431083,+,chr6
SARS,109756540,109756540,+,chr1
RANBP3,5978104,5978104,-,chr19
ARID4A,58765293,58765293,+,chr14
TSSC1,3381589,3381589,-,chr2
PNPLA6,7599634,7599634,+,chr19
IFT88,21141299,21141299,+,chr13
ALG1,5121844,5121844,+,chr16
ZCCHC8,122985398,122985398,-,chr12
ABCF2,150924278,150924278,-,chr7
CHPF2,150929585,150929585,+,chr7
LRRC7,70033608,70033608,+,chr1
FUT8,65879448,65879448,+,chr14
UBA6,68566866,68566866,-,chr4
GAB2,78128866,78128866,-,chr11
ATP6V0A1,40610897,40610897,+,chr17
PIAS1,68346653,68346653,+,chr15
SLC4A7,27525875,27525875,-,chr3
APBA2,29131309,29131309,+,chr15
MAP2K3,21188023,21188023,+,chr17
EFCAB1,49647827,49647827,-,chr8
TMSB10,85132780,85132780,+,chr2
ASTE1,130745608,130745608,-,chr3
RNF19A,101322171,101322171,-,chr8
PEX3,143772013,143772013,+,chr6
GABARAPL2,75600277,75600277,+,chr16
MYOC,171621828,171621828,-,chr1
SH3YL1,264032,264032,-,chr2
FAM136A,70529159,70529159,-,chr2
VCL,75757874,75757874,+,chr10
DEPDC1B,59995961,59995961,-,chr5
DAPK2,64338647,64338647,-,chr15
NSMAF,59572388,59572388,-,chr8
ADSS,244615211,244615211,-,chr1
STAP1,68424445,68424445,+,chr4
TIMP2,76921469,76921469,-,chr17
RFC1,39367982,39367982,-,chr4
TBC1D23,99979836,99979836,+,chr3
CUL3,225450055,225450055,-,chr2
MYOM2,1993161,1993161,+,chr8
OTC,38211857,38211857,+,chrX
CYP46A1,100150651,100150651,+,chr14
ZZZ3,78149083,78149083,-,chr1
SLC18A1,20040647,20040647,-,chr8
USP2,119234918,119234918,-,chr11
CASR,121902534,121902534,+,chr3
TUBG2,40811302,40811302,+,chr17
RPL26L1,172386427,172386427,+,chr5
FLT4,180076600,180076600,-,chr5
NSUN2,6633157,6633157,-,chr5
FBXO42,16678968,16678968,-,chr1
MFAP3,153418532,153418532,+,chr5
MRI1,13875375,13875375,+,chr19
METTL1,58165888,58165888,-,chr12
HOXC8,54402773,54402773,+,chr12
AGA,178363564,178363564,-,chr4
PI4K2B,25235655,25235655,+,chr4
BOD1L1,13629349,13629349,-,chr4
MAT2B,162932625,162932625,+,chr5
TLL1,166794390,166794390,+,chr4
EDC4,67906972,67906972,+,chr16
TRIO,14143451,14143451,+,chr5
VCAN,82767563,82767563,+,chr5
CLEC16A,11038421,11038421,+,chr16
MSR1,16050160,16050160,-,chr8
CDH1,68771195,68771195,+,chr16
SKIV2L2,54603829,54603829,+,chr5
DNAH5,13944652,13944652,-,chr5
ZFYVE16,79703883,79703883,+,chr5
FAM65A,67562738,67562738,+,chr16
C6,41213634,41213634,-,chr5
RAI14,34656507,34656507,+,chr5
SOX30,157079385,157079385,-,chr5
PNKP,50370812,50370812,-,chr19
BEST2,12862605,12862605,+,chr19
PHLPP2,71757788,71757788,-,chr16
SPDL1,169010792,169010792,+,chr5
STAU2,74659075,74659075,-,chr8
PQLC2,19638820,19638820,+,chr1
CTNS,3540054,3540054,+,chr17
RTN4R,20255841,20255841,-,chr22
PHF23,7142758,7142758,-,chr17
CDH10,24645045,24645045,-,chr5
INPP4A,99061321,99061321,+,chr2
RAB27B,52495708,52495708,+,chr18
PSMA4,78832786,78832786,+,chr15
MYO16,109282000,109282000,+,chr13
LSG1,194392920,194392920,-,chr3
PARP3,51977036,51977036,+,chr3
TNC,117880432,117880432,-,chr9
THAP3,6685261,6685261,+,chr1
FAM65C,49308064,49308064,-,chr20
TDP1,90422279,90422279,+,chr14
AIFM2,71892568,71892568,-,chr10
C2orf83,228498036,228498036,-,chr2
SPATA7,88852034,88852034,+,chr14
MED17,93517448,93517448,+,chr11
RETSAT,85581651,85581651,-,chr2
CAPG,85637488,85637488,-,chr2
AP2S1,47354101,47354101,-,chr19
USH2A,216596790,216596790,-,chr1
ZPBP,50132809,50132809,-,chr7
TG,133879203,133879203,+,chr8
ADAM28,24151582,24151582,+,chr8
BARX2,129245743,129245743,+,chr11
DCUN1D1,182698326,182698326,-,chr3
JADE2,133861360,133861360,+,chr5
ZIC2,100634038,100634038,+,chr13
LCP2,169724781,169724781,-,chr5
TRIT1,40349176,40349176,-,chr1
ADRB1,115803625,115803625,+,chr10
GUCA2B,42619081,42619081,+,chr1
CUL7,43021537,43021537,-,chr6
CTNNA1,138089114,138089114,+,chr5
PHKA2,19002232,19002232,-,chrX
CNTLN,17135038,17135038,+,chr9
EPHA3,89156771,89156771,+,chr3
HSPA5,128003622,128003622,-,chr9
DSG2,29078141,29078141,+,chr18
GEMIN8,14048011,14048011,-,chrX
OFD1,13752867,13752867,+,chrX
GPM6B,13956757,13956757,-,chrX
MAGEC2,141293068,141293068,-,chrX
PREX2,68864615,68864615,+,chr8
WDR37,1102343,1102343,+,chr10
YTHDC2,112849402,112849402,+,chr5
CTPS2,16730792,16730792,-,chrX
ATP6V1H,54755805,54755805,-,chr8
POLR2B,57845062,57845062,+,chr4
FAM214A,52971562,52971562,-,chr15
ARAP2,36246105,36246105,-,chr4
TPR,186344385,186344385,-,chr1
CP,148939611,148939611,-,chr3
KIAA0556,27561465,27561465,+,chr16
DTNBP1,15663213,15663213,-,chr6
XK,37545044,37545044,+,chrX
ANO2,6054394,6054394,-,chr12
C12orf4,4647632,4647632,-,chr12
SCML1,17755613,17755613,+,chrX
WWC3,9983295,9983295,+,chrX
ARHGAP6,11445906,11445906,-,chrX
FAM184B,17783244,17783244,-,chr4
MAP4,48130338,48130338,-,chr3
GOPC,117923655,117923655,-,chr6
ROS1,117747030,117747030,-,chr6
USP28,113746255,113746255,-,chr11
HDAC9,18548967,18548967,+,chr7
TSPAN17,176074485,176074485,+,chr5
NOP16,175815599,175815599,-,chr5
CC2D2A,15480845,15480845,+,chr4
RRM2B,103251165,103251165,-,chr8
ZNF800,127032758,127032758,-,chr7
TNFRSF17,12059067,12059067,+,chr16
SNX29,12070591,12070591,+,chr16
LMO3,16759421,16759421,-,chr12
MRPS10,42185599,42185599,-,chr6
GUCA1A,42141129,42141129,+,chr6
RSF1,77531768,77531768,-,chr11
VPS13D,12290089,12290089,+,chr1
CELF2,11207447,11207447,+,chr10
FAM120A,96213976,96213976,+,chr9
R3HDM1,136289068,136289068,+,chr2
COL9A2,40782954,40782954,-,chr1
KITLG,88974248,88974248,-,chr12
ERCC8,60240897,60240897,-,chr5
ADAMTS6,64777675,64777675,-,chr5
H6PD,9294833,9294833,+,chr1
VAMP3,7831356,7831356,+,chr1
PER3,7844355,7844355,+,chr1
UTS2,7913125,7913125,-,chr1
TNFRSF9,8000897,8000897,-,chr1
EPN3,48610096,48610096,+,chr17
LTBP1,33359663,33359663,+,chr2
RCN1,32112620,32112620,+,chr11
ELN,73442511,73442511,+,chr7
RFC2,73668729,73668729,-,chr7
ARID1B,157098801,157098801,+,chr6
CLPTM1L,1345169,1345169,-,chr5
NEDD4L,55888803,55888803,+,chr18
FOXP3,49121172,49121172,-,chrX
PPP1R3F,49126275,49126275,+,chrX
HEXB,73981058,73981058,+,chr5
PTCD2,71616200,71616200,+,chr5
KIAA2022,74145281,74145281,-,chrX
JKAMP,59951235,59951235,+,chr14
DKK3,12030173,12030173,-,chr11
ARHGEF5,144052504,144052504,+,chr7
NFE2L3,26191829,26191829,+,chr7
MCUR1,13814440,13814440,-,chr6
LIMA1,50616437,50616437,-,chr12
LETMD1,51442110,51442110,+,chr12
SLC4A8,51818615,51818615,+,chr12
LAMC3,133884574,133884574,+,chr9
PTGER3,71513499,71513499,-,chr1
TNIP3,122085476,122085476,-,chr4
MAPK9,179719083,179719083,-,chr5
COL23A1,178017394,178017394,-,chr5
BCAR1,75285522,75285522,-,chr16
FAM160A2,6255866,6255866,-,chr11
HERPUD1,56966054,56966054,+,chr16
HOMER3,19052011,19052011,-,chr19
RAD51,40987372,40987372,+,chr15
POLQ,121264829,121264829,-,chr3
PIK3CB,138553730,138553730,-,chr3
CYBA,88717461,88717461,-,chr16
THOC3,175461683,175461683,-,chr5
HEBP2,138725389,138725389,+,chr6
MPHOSPH9,123717688,123717688,-,chr12
PLEKHA5,19282667,19282667,+,chr12
PRSS8,31147048,31147048,-,chr16
SIKE1,115323267,115323267,-,chr1
RRP12,99161053,99161053,-,chr10
FNIP2,159690178,159690178,+,chr4
MSMO1,166248872,166248872,+,chr4
TTC17,43380494,43380494,+,chr11
ALX4,44331587,44331587,-,chr11
FSTL4,132948203,132948203,-,chr5
FOXN3,90085509,90085509,-,chr14
METTL24,110679552,110679552,-,chr6
AKR7A2,19638597,19638597,-,chr1
MRTO4,19578299,19578299,+,chr1
NNAT,36149652,36149652,+,chr20
